UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Current Status
871.0,P00871,H,303.1,309.4,1590.0,49.5,200.0,1.0,Mechanical Failure,
675.0,P00675,L,303.7,309.1,1558.0,45.4,222.0,1.0,Power Failure,
364.0,P00364,L,299.5,303.2,1503.0,38.7,176.0,0.0,No Failure,
618.0,P00618,L,304.6,308.5,1575.0,49.7,233.0,1.0,Mechanical Failure,
812.0,P00812,M,303.7,309.4,1585.0,49.1,246.0,1.0,Mechanical Failure,
126.0,P00126,M,295.8,301.4,1419.0,39.8,45.0,0.0,No Failure,
237.0,P00237,L,295.4,307.8,1456.0,31.7,104.0,0.0,No Failure,
174.0,P00174,M,298.0,304.3,1442.0,31.4,96.0,0.0,No Failure,
589.0,P00589,M,304.8,309.0,1597.0,48.8,200.0,1.0,Power Failure,
653.0,P00653,M,303.0,308.8,1572.0,45.6,225.0,1.0,Mechanical Failure,
852.0,P00852,L,304.7,309.8,1597.0,49.5,237.0,1.0,Power Failure,
808.0,P00808,H,303.0,308.9,1575.0,49.1,214.0,1.0,Mechanical Failure,
238.0,P00238,M,297.3,304.5,1426.0,38.0,106.0,0.0,No Failure,
19.0,P00019,H,299.9,300.6,1424.0,36.6,159.0,0.0,No Failure,
492.0,P00492,L,297.4,302.0,1477.0,30.7,107.0,0.0,No Failure,
517.0,P00517,M,303.2,308.2,1550.0,47.7,200.0,1.0,Heat Failure,
869.0,P00869,M,303.8,309.4,1583.0,49.0,212.0,1.0,Heat Failure,
686.0,P00686,H,304.5,308.4,1585.0,46.0,227.0,1.0,Mechanical Failure,
637.0,P00637,H,303.6,309.2,1591.0,46.8,234.0,1.0,Power Failure,
157.0,P00157,H,301.8,305.5,1427.0,43.5,91.0,0.0,No Failure,
216.0,P00216,H,297.1,305.9,1454.0,40.0,183.0,0.0,No Failure,
460.0,P00460,L,298.7,307.8,1481.0,43.2,30.0,0.0,No Failure,
932.0,P00932,M,304.4,309.5,1559.0,47.5,221.0,1.0,Mechanical Failure,
25.0,P00025,L,299.7,307.0,1493.0,43.0,47.0,0.0,No Failure,
992.0,P00992,M,303.0,308.6,1576.0,46.2,217.0,1.0,Heat Failure,
505.0,P00505,M,303.5,308.7,1575.0,46.4,238.0,1.0,Power Failure,
795.0,P00795,L,303.4,308.3,1554.0,47.4,213.0,1.0,Mechanical Failure,
959.0,P00959,H,303.8,309.5,1551.0,45.2,246.0,1.0,Mechanical Failure,
